iter	Passed	Remaining
0	328	327904
1	330	165119
2	333	110851
3	336	83709
4	338	67433
5	342	56796
6	347	49272
7	349	43380
8	352	38809
9	356	35315
10	360	32378
11	362	29830
12	364	27673
13	367	25853
14	376	24730
15	379	23323
16	381	22085
17	384	20968
18	386	19979
19	389	19104
20	392	18292
21	394	17551
22	397	16875
23	401	16316
24	409	15980
25	412	15450
26	415	14962
27	417	14507
28	422	14143
29	425	13741
30	427	13369
31	430	13026
32	433	12690
33	437	12443
34	440	12139
35	442	11850
36	445	11596
37	448	11353
38	512	12636
39	526	12641
40	535	12532
41	538	12283
42	541	12045
43	543	11815
44	546	11596
45	549	11405
46	552	11200
47	606	12038
48	619	12019
49	622	11818
50	624	11622
51	632	11534
52	636	11366
53	639	11208
54	647	11124
55	725	12228
56	728	12045
57	737	11980
58	742	11847
59	746	11694
60	758	11676
61	761	11515
62	791	11767
63	793	11611
64	806	11602
65	809	11460
66	821	11444
67	826	11331
68	839	11322
69	842	11191
70	859	11248
71	869	11202
72	906	11514
73	954	11945
74	974	12018
75	980	11924
76	993	11912
77	997	11790
78	1002	11690
79	1010	11622
80	1015	11517
81	1018	11406
82	1020	11276
83	1026	11189
84	1035	11142
85	1038	11033
86	1057	11096
87	1061	11002
88	1065	10906
89	1069	10815
90	1074	10735
91	1078	10639
92	1081	10545
93	1085	10460
94	1093	10414
95	1098	10340
96	1105	10292
97	1121	10322
98	1128	10268
99	1137	10235
100	1146	10208
101	1151	10139
102	1155	10064
103	1161	10010
104	1165	9935
105	1169	9861
106	1175	9814
107	1179	9740
108	1183	9673
109	1189	9622
110	1193	9555
111	1196	9488
112	1200	9425
113	1206	9374
114	1209	9310
115	1215	9260
116	1217	9191
117	1234	9224
118	1240	9181
119	1244	9124
120	1247	9064
121	1255	9036
122	1260	8988
123	1264	8930
124	1268	8882
125	1272	8826
126	1275	8766
127	1279	8714
128	1286	8684
129	1290	8637
130	1299	8621
131	1310	8616
132	1324	8633
133	1327	8579
134	1356	8689
135	1369	8702
136	1375	8665
137	1388	8670
138	1440	8925
139	1470	9035
140	1473	8977
141	1474	8912
142	1486	8907
143	1489	8855
144	1501	8856
145	1507	8818
146	1521	8828
147	1536	8843
148	1538	8788
149	1549	8780
150	1552	8731
151	1555	8676
152	1566	8674
153	1571	8632
154	1583	8630
155	1587	8586
156	1601	8598
157	1604	8550
158	1617	8556
159	1652	8674
160	1663	8669
161	1702	8805
162	1713	8796
163	1717	8753
164	1725	8731
165	1730	8694
166	1734	8651
167	1749	8662
168	1754	8626
169	1773	8658
170	1780	8632
171	1783	8585
172	1786	8541
173	1796	8528
174	1803	8499
175	1841	8619
176	1844	8577
177	1849	8538
178	1886	8653
179	1912	8714
180	1915	8667
181	1930	8678
182	1934	8636
183	1937	8593
184	1943	8563
185	1946	8519
186	1959	8517
187	1963	8480
188	1966	8436
189	1969	8394
190	1971	8351
191	1978	8325
192	1984	8298
193	1991	8272
194	1995	8238
195	2000	8205
196	2009	8192
197	2015	8163
198	2018	8123
199	2023	8094
200	2029	8065
201	2032	8029
202	2037	7998
203	2039	7959
204	2042	7920
205	2044	7881
206	2047	7842
207	2049	7804
208	2055	7778
209	2057	7741
210	2060	7704
211	2062	7667
212	2065	7631
213	2068	7598
214	2071	7562
215	2073	7527
216	2076	7492
217	2078	7456
218	2083	7431
219	2086	7396
220	2088	7363
221	2091	7329
